Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,OF-M,OF-A,OF%,OIS-M,OIS-A,OIS%,OMR-M,OMR-A,OMR%,O3P-M,O3P-A,O3P%
C. He,205571,9,18,0.50,41,84,0.49,44,98,0.45,61,168,0.36,13,17,0.76,39,63,0.62,37,97,0.38,47,149,0.32
A. Freeman,193504,1,1,1.00,203,350,0.58,13,32,0.41,19,49,0.39,12,17,0.71,152,267,0.57,19,42,0.45,15,35,0.43
D. Stuart,192339,3,5,0.60,224,396,0.57,17,38,0.45,6,21,0.29,8,14,0.57,143,246,0.58,7,26,0.27,5,14,0.36
M. Gallegos,191797,25,43,0.58,6,10,0.60,33,73,0.45,12,59,0.20,16,20,0.80,8,19,0.42,25,60,0.42,37,123,0.30
D. Hines,195439,13,17,0.76,20,33,0.61,16,46,0.35,31,130,0.24,21,29,0.72,14,29,0.48,23,66,0.35,37,102,0.36
C. Manning,202252,0,0,0.00,37,77,0.48,3,6,0.50,2,5,0.40,0,1,0.00,38,80,0.47,1,3,0.33,2,8,0.25
I. Brunner,190733,0,0,0.00,2,3,0.67,0,0,0.00,5,10,0.50,0,0,0.00,3,6,0.50,0,4,0.00,0,3,0.00
B. McNeil,193584,1,2,0.50,3,3,1.00,1,3,0.33,3,7,0.43,1,1,1.00,0,0,0.00,1,2,0.50,0,7,0.00
J. Shackleford,194597,5,7,0.71,24,50,0.48,6,22,0.27,11,23,0.48,1,2,0.50,46,84,0.55,5,11,0.45,5,17,0.29
I. Ballard,210047,19,28,0.68,13,24,0.54,44,99,0.44,69,197,0.35,33,36,0.92,32,41,0.78,52,112,0.46,65,206,0.32
L. McDonnell,207217,29,39,0.74,9,21,0.43,22,65,0.34,23,75,0.31,55,70,0.79,13,23,0.57,50,116,0.43,58,168,0.35
B. Wilson,207949,4,4,1.00,23,38,0.61,18,39,0.46,13,56,0.23,9,10,0.90,18,31,0.58,22,42,0.52,23,71,0.32
C. Marini,196855,2,3,0.67,29,62,0.47,12,26,0.46,8,28,0.29,10,11,0.91,47,77,0.61,22,45,0.49,21,59,0.36
F. Clayton,190519,3,6,0.50,78,130,0.60,17,39,0.44,19,54,0.35,4,13,0.31,91,188,0.48,11,26,0.42,17,35,0.49
H. Aldrich,197653,2,3,0.67,132,242,0.55,2,4,0.50,0,1,0.00,14,23,0.61,119,251,0.47,8,17,0.47,12,23,0.52
R. Feeney,191796,20,37,0.54,15,27,0.56,33,94,0.35,24,76,0.32,14,21,0.67,13,21,0.62,21,54,0.39,48,125,0.38
T. Halverson,197102,3,7,0.43,6,11,0.55,13,32,0.41,15,47,0.32,6,6,1.00,10,11,0.91,5,16,0.31,19,46,0.41
R. Montanari,193499,0,0,0.00,183,298,0.61,13,32,0.41,10,27,0.37,11,18,0.61,138,244,0.57,11,35,0.31,5,26,0.19
D. Maddox,207944,1,1,1.00,4,6,0.67,0,3,0.00,4,6,0.67,1,1,1.00,1,2,0.50,4,8,0.50,1,9,0.11
P. Zhang,191039,41,59,0.69,39,68,0.57,81,160,0.51,79,221,0.36,18,23,0.78,28,43,0.65,38,106,0.36,66,229,0.29
I. Goins,205423,1,3,0.33,8,13,0.62,1,4,0.25,8,21,0.38,0,1,0.00,8,13,0.62,2,10,0.20,5,12,0.42
T. Kurtz,209044,1,2,0.50,5,13,0.38,0,1,0.00,0,1,0.00,1,1,1.00,13,34,0.38,4,6,0.67,3,6,0.50
W. Mitchell,193643,9,12,0.75,68,126,0.54,51,95,0.54,76,201,0.38,13,14,0.93,48,76,0.63,32,82,0.39,44,179,0.25
J. Lennon,193768,52,78,0.67,12,18,0.67,64,162,0.40,61,146,0.42,40,45,0.89,17,30,0.57,49,109,0.45,81,209,0.39
W. Sadler,199275,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00
J. Garza,204987,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Biddle,200865,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00
D. Wilkerson,201227,4,6,0.67,26,55,0.47,33,82,0.40,77,209,0.37,12,18,0.67,32,56,0.57,32,89,0.36,57,146,0.39
H. Scales,202513,0,0,0.00,29,53,0.55,3,10,0.30,1,2,0.50,6,8,0.75,87,168,0.52,10,18,0.56,4,9,0.44
F. Robertson,195704,2,2,1.00,183,306,0.60,8,23,0.35,3,14,0.21,14,25,0.56,132,294,0.45,11,26,0.42,6,17,0.35
R. Burnett,193006,57,81,0.70,18,44,0.41,67,171,0.39,103,314,0.33,39,49,0.80,16,36,0.44,62,149,0.42,77,208,0.37
G. Arthur,198948,64,84,0.76,17,36,0.47,87,214,0.41,3,15,0.20,32,38,0.84,32,39,0.82,36,117,0.31,63,194,0.32
J. Bradley,196776,9,14,0.64,38,89,0.43,54,118,0.46,78,196,0.40,13,15,0.87,46,69,0.67,68,141,0.48,68,166,0.41
B. Herrick,198769,1,1,1.00,43,80,0.54,2,7,0.29,1,4,0.25,8,10,0.80,53,88,0.60,2,7,0.29,9,12,0.75
S. South,190904,4,6,0.67,10,23,0.43,6,12,0.50,8,21,0.38,7,9,0.78,6,12,0.50,14,23,0.61,9,23,0.39
I. Phillips,194999,2,4,0.50,0,1,0.00,1,2,0.50,2,6,0.33,0,0,0.00,0,0,0.00,1,4,0.25,4,6,0.67
P. Westbrook,200075,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00,1,1,1.00,0,0,0.00,1,2,0.50
C. Perales,207766,0,0,0.00,57,98,0.58,2,11,0.18,7,16,0.44,13,16,0.81,94,148,0.64,6,14,0.43,5,10,0.50
S. Barber,199125,0,0,0.00,1,1,1.00,1,1,1.00,2,7,0.29,1,1,1.00,0,1,0.00,0,0,0.00,0,1,0.00
D. Ross,207726,0,1,0.00,37,74,0.50,4,9,0.44,5,17,0.29,6,10,0.60,64,112,0.57,6,14,0.43,3,13,0.23
M. Jankauskas,220506,0,0,0.00,1,1,1.00,1,3,0.33,2,2,1.00,2,2,1.00,2,2,1.00,2,7,0.29,3,7,0.43
M. Blackmon,190056,10,13,0.77,55,106,0.52,61,123,0.50,139,344,0.40,11,13,0.85,52,70,0.74,44,113,0.39,72,224,0.32
R. Jewell,195184,11,14,0.79,199,318,0.63,57,115,0.50,16,44,0.36,11,24,0.46,186,383,0.49,10,24,0.42,13,26,0.50
P. Brett,196843,22,30,0.73,22,32,0.69,24,60,0.40,70,168,0.42,21,33,0.64,23,28,0.82,66,135,0.49,102,256,0.40
K. Womack,194049,75,110,0.68,29,57,0.51,95,213,0.45,134,331,0.40,38,44,0.86,22,38,0.58,55,125,0.44,67,214,0.31
V. Rafferty,199198,0,0,0.00,3,6,0.50,4,10,0.40,4,13,0.31,1,1,1.00,3,4,0.75,2,5,0.40,4,12,0.33
J. Carlson,195259,3,4,0.75,2,5,0.40,5,10,0.50,11,31,0.35,7,8,0.88,2,5,0.40,6,14,0.43,8,24,0.33
R. New,192774,5,6,0.83,61,119,0.51,34,66,0.52,34,113,0.30,11,18,0.61,116,210,0.55,26,45,0.58,16,50,0.32
G. Chapman,196506,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,2,2,1.00,0,1,0.00
K. Farrell,221274,0,0,0.00,8,9,0.89,1,2,0.50,0,0,0.00,1,2,0.50,16,28,0.57,3,3,1.00,0,0,0.00
B. Blackburn,207623,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00,1,3,0.33,0,0,0.00,0,0,0.00
J. Fernandez,205682,1,1,1.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,1,3,0.33,0,2,0.00
W. Downing,206789,11,13,0.85,6,8,0.75,2,12,0.17,6,12,0.50,9,10,0.90,6,12,0.50,11,29,0.38,21,59,0.36
R. Browne,195212,17,27,0.63,55,97,0.57,53,128,0.41,117,332,0.35,14,17,0.82,34,60,0.57,54,114,0.47,66,184,0.36
J. Richards,188377,14,16,0.88,185,336,0.55,28,56,0.50,29,56,0.52,7,16,0.44,170,336,0.51,8,21,0.38,9,29,0.31
S. Smiley,197033,0,0,0.00,92,160,0.57,5,18,0.28,4,15,0.27,9,17,0.53,182,343,0.53,14,35,0.40,10,18,0.56
T. Rockwell,189686,42,54,0.78,40,71,0.56,63,167,0.38,95,260,0.37,17,21,0.81,22,36,0.61,42,113,0.37,69,189,0.37
I. Witherspoon,196423,47,82,0.57,11,23,0.48,40,120,0.33,36,100,0.36,44,52,0.85,16,29,0.55,35,117,0.30,63,195,0.32
S. McMullin,207947,4,4,1.00,0,1,0.00,3,8,0.38,8,22,0.36,1,1,1.00,3,4,0.75,9,12,0.75,4,12,0.33
J. Moyer,200376,10,14,0.71,9,15,0.60,20,71,0.28,1,5,0.20,7,10,0.70,8,14,0.57,18,52,0.35,25,69,0.36
J. Gordon,202315,0,0,0.00,46,80,0.57,3,9,0.33,1,2,0.50,4,7,0.57,39,71,0.55,3,9,0.33,3,6,0.50
J. Simmons,199768,0,0,0.00,28,48,0.58,1,1,1.00,0,0,0.00,10,16,0.62,58,118,0.49,7,14,0.50,3,4,0.75
L. Sisk,199837,1,1,1.00,3,5,0.60,1,6,0.17,4,14,0.29,0,1,0.00,2,2,1.00,4,8,0.50,7,11,0.64
F. Gaines,202751,9,9,1.00,7,9,0.78,5,16,0.31,0,2,0.00,1,1,1.00,3,3,1.00,7,20,0.35,12,25,0.48
T. McHugh,206960,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,2,0.00,0,0,0.00
C. Schmid,188880,12,13,0.92,59,106,0.56,22,62,0.35,96,238,0.40,25,33,0.76,38,63,0.60,44,125,0.35,76,215,0.35
M. Haywood,204007,7,9,0.78,166,317,0.52,28,62,0.45,15,48,0.31,15,28,0.54,103,215,0.48,14,31,0.45,16,43,0.37
A. Daniels,192237,4,4,1.00,159,299,0.53,41,83,0.49,15,52,0.29,17,28,0.61,150,310,0.48,10,24,0.42,6,17,0.35
T. Key,201248,16,20,0.80,16,35,0.46,48,99,0.48,65,222,0.29,22,28,0.79,21,31,0.68,60,136,0.44,76,202,0.38
T. Schroeder,190897,53,70,0.76,14,26,0.54,45,112,0.40,87,235,0.37,33,50,0.66,22,36,0.61,55,137,0.40,76,240,0.32
S. Morelli,196861,0,0,0.00,20,41,0.49,7,20,0.35,9,29,0.31,9,12,0.75,60,113,0.53,18,27,0.67,8,17,0.47
G. McFarland,204837,6,11,0.55,28,48,0.58,27,52,0.52,29,80,0.36,10,13,0.77,23,33,0.70,20,47,0.43,23,74,0.31
C. Bush,192640,5,7,0.71,6,12,0.50,10,22,0.45,46,104,0.44,1,4,0.25,14,23,0.61,23,55,0.42,17,56,0.30
S. Noble,204603,1,2,0.50,0,0,0.00,3,5,0.60,2,4,0.50,0,0,0.00,1,1,1.00,3,6,0.50,1,8,0.12
F. Cain,195297,4,6,0.67,2,3,0.67,6,11,0.55,7,17,0.41,0,0,0.00,3,3,1.00,5,10,0.50,8,15,0.53
T. Freed,188857,6,7,0.86,28,55,0.51,39,80,0.49,67,193,0.35,14,17,0.82,17,31,0.55,70,165,0.42,55,181,0.30
Q. Hayward,195952,1,5,0.20,176,337,0.52,10,34,0.29,11,45,0.24,24,35,0.69,99,212,0.47,8,17,0.47,4,15,0.27
I. Mendoza,195301,3,5,0.60,321,508,0.63,6,18,0.33,2,4,0.50,31,57,0.54,162,313,0.52,7,14,0.50,3,15,0.20
K. Fulton,201041,35,54,0.65,30,66,0.45,43,120,0.36,106,289,0.37,21,25,0.84,14,18,0.78,74,158,0.47,67,193,0.35
J. Morgan,204229,5,6,0.83,2,9,0.22,14,38,0.37,32,94,0.34,18,18,1.00,6,11,0.55,32,80,0.40,26,84,0.31
K. Butler,207635,0,0,0.00,0,0,0.00,0,3,0.00,0,4,0.00,6,6,1.00,1,1,1.00,1,6,0.17,0,2,0.00
G. Greene,199995,26,33,0.79,13,22,0.59,34,74,0.46,50,129,0.39,23,29,0.79,10,17,0.59,46,108,0.43,57,176,0.32
S. Connelly,191085,0,0,0.00,51,74,0.69,17,38,0.45,3,12,0.25,5,10,0.50,31,64,0.48,1,6,0.17,0,3,0.00
G. Sabo,193404,3,5,0.60,27,51,0.53,1,5,0.20,2,7,0.29,12,16,0.75,52,84,0.62,2,4,0.50,3,5,0.60
T. Yancey,210089,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Shank,208163,0,0,0.00,4,5,0.80,2,4,0.50,1,1,1.00,0,0,0.00,11,14,0.79,2,2,1.00,0,0,0.00
E. Qiao,200087,6,6,1.00,20,42,0.48,14,28,0.50,18,61,0.30,8,11,0.73,8,16,0.50,20,59,0.34,22,63,0.35
C. Hawkins,197303,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Bannon,200151,0,1,0.00,0,0,0.00,1,2,0.50,0,2,0.00,0,0,0.00,0,0,0.00,1,4,0.25,0,4,0.00
J. Camarillo,205520,43,51,0.84,40,80,0.50,47,88,0.53,66,191,0.35,20,26,0.77,19,35,0.54,48,110,0.44,75,235,0.32
D. Culpepper,188928,11,14,0.79,226,397,0.57,25,52,0.48,19,49,0.39,13,22,0.59,122,260,0.47,13,30,0.43,7,33,0.21
M. Zupan,204018,4,5,0.80,183,298,0.61,25,48,0.52,7,25,0.28,14,33,0.42,114,253,0.45,3,9,0.33,3,17,0.18
J. Watts,198688,45,68,0.66,13,36,0.36,112,228,0.49,2,13,0.15,41,47,0.87,17,25,0.68,71,163,0.44,67,204,0.33
R. Murillo,205014,11,13,0.85,76,111,0.68,56,103,0.54,75,214,0.35,18,24,0.75,30,56,0.54,62,127,0.49,55,185,0.30
G. Quinlan,205643,2,5,0.40,64,110,0.58,6,16,0.38,6,9,0.67,3,5,0.60,55,102,0.54,4,11,0.36,4,12,0.33
J. Pickett,206389,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00,1,1,1.00,0,2,0.00,0,1,0.00,1,2,0.50
A. Ragland,204001,1,1,1.00,18,34,0.53,11,25,0.44,12,36,0.33,6,8,0.75,14,30,0.47,23,50,0.46,22,65,0.34
H. Tucker,193925,0,0,0.00,4,8,0.50,2,6,0.33,2,2,1.00,1,1,1.00,3,4,0.75,3,4,0.75,2,9,0.22
V. Corey,194095,10,13,0.77,8,11,0.73,14,31,0.45,22,51,0.43,9,9,1.00,7,11,0.64,10,27,0.37,20,49,0.41
B. Love,208441,2,5,0.40,1,3,0.33,6,13,0.46,8,24,0.33,2,4,0.50,2,4,0.50,5,18,0.28,3,26,0.12
T. English,201669,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Wiles,197971,5,8,0.62,49,100,0.49,34,90,0.38,51,169,0.30,10,11,0.91,51,77,0.66,54,110,0.49,46,139,0.33
B. Jenkins,192748,2,4,0.50,130,248,0.52,17,45,0.38,30,68,0.44,15,22,0.68,178,301,0.59,12,30,0.40,19,41,0.46
O. Coimbra,212954,3,3,1.00,113,188,0.60,13,28,0.46,5,23,0.22,8,21,0.38,163,334,0.49,8,25,0.32,1,16,0.06
C. Waddell,206532,22,27,0.81,13,21,0.62,37,79,0.47,63,186,0.34,15,22,0.68,26,46,0.57,52,120,0.43,74,222,0.33
M. Hayes,192111,27,33,0.82,30,46,0.65,51,115,0.44,140,457,0.31,26,38,0.68,25,42,0.60,58,120,0.48,65,198,0.33
R. Bianco,190999,0,0,0.00,4,8,0.50,0,2,0.00,0,3,0.00,0,0,0.00,5,5,1.00,0,3,0.00,0,1,0.00
H. McDaniel,209573,1,1,1.00,3,6,0.50,1,3,0.33,1,3,0.33,5,9,0.56,8,14,0.57,0,5,0.00,2,6,0.33
S. Katz,192220,6,9,0.67,21,39,0.54,9,25,0.36,21,61,0.34,5,5,1.00,27,42,0.64,12,37,0.32,14,56,0.25
W. Lin,220426,1,2,0.50,29,59,0.49,22,51,0.43,12,40,0.30,7,11,0.64,121,235,0.51,6,10,0.60,5,14,0.36
M. Ellison,190605,3,4,0.75,2,4,0.50,3,11,0.27,19,43,0.44,6,9,0.67,2,4,0.50,13,29,0.45,14,30,0.47
S. Dugan,197500,1,2,0.50,12,22,0.55,18,35,0.51,21,50,0.42,4,7,0.57,7,12,0.58,9,25,0.36,20,44,0.45
T. Moore,200118,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,2,0.50,0,0,0.00,0,0,0.00
J. Caldwell,201888,0,0,0.00,0,0,0.00,0,1,0.00,1,2,0.50,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
I. Gandy,192551,8,13,0.62,72,137,0.53,39,120,0.33,91,241,0.38,11,15,0.73,37,67,0.55,32,91,0.35,57,154,0.37
C. Shaw,207742,1,1,1.00,123,245,0.50,17,56,0.30,10,23,0.43,19,28,0.68,165,301,0.55,13,30,0.43,13,37,0.35
K. Oliver,209965,1,1,1.00,233,398,0.59,1,10,0.10,1,2,0.50,13,23,0.57,150,278,0.54,6,18,0.33,2,9,0.22
D. Tillman,198277,14,16,0.88,9,23,0.39,11,38,0.29,19,60,0.32,12,15,0.80,20,35,0.57,33,73,0.45,33,104,0.32
J. Fusco,195771,26,40,0.65,20,34,0.59,28,89,0.31,46,151,0.30,42,48,0.88,21,40,0.53,48,137,0.35,59,184,0.32
G. Oliver,198184,11,21,0.52,9,18,0.50,9,28,0.32,27,72,0.38,23,25,0.92,14,20,0.70,42,87,0.48,41,127,0.32
P. Best,198236,0,1,0.00,28,57,0.49,2,5,0.40,1,2,0.50,14,23,0.61,74,153,0.48,4,8,0.50,1,5,0.20
L. Vickery,199955,2,3,0.67,6,18,0.33,11,24,0.46,11,33,0.33,5,6,0.83,8,12,0.67,15,47,0.32,14,42,0.33
G. Stevenson,197423,0,0,0.00,15,41,0.37,3,6,0.50,0,3,0.00,8,16,0.50,71,121,0.59,7,12,0.58,5,11,0.45
J. Dowell,193692,2,6,0.33,4,5,0.80,6,19,0.32,8,26,0.31,7,7,1.00,5,10,0.50,11,30,0.37,5,24,0.21
D. Lewis,204746,1,6,0.17,5,13,0.38,12,35,0.34,17,72,0.24,13,15,0.87,15,23,0.65,11,28,0.39,23,51,0.45
T. Small,196291,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00
J. Albertson,196128,4,4,1.00,38,83,0.46,48,116,0.41,75,220,0.34,13,13,1.00,38,64,0.59,39,114,0.34,61,160,0.38
B. Fukumoto,193101,6,10,0.60,127,211,0.60,21,35,0.60,2,17,0.12,10,24,0.42,97,227,0.43,12,31,0.39,7,25,0.28
D. Carlson,193961,12,20,0.60,178,299,0.60,21,43,0.49,11,32,0.34,15,37,0.41,153,290,0.53,6,18,0.33,10,17,0.59
T. Dillon,202452,44,57,0.77,29,41,0.71,36,103,0.35,60,150,0.40,29,34,0.85,24,36,0.67,65,147,0.44,87,259,0.34
C. Rains,193463,77,106,0.73,22,45,0.49,99,235,0.42,92,225,0.41,36,36,1.00,15,32,0.47,50,132,0.38,54,200,0.27
S. Riley,198630,9,13,0.69,42,76,0.55,12,28,0.43,7,22,0.32,4,7,0.57,45,85,0.53,9,20,0.45,9,35,0.26
M. Beatty,189437,2,3,0.67,22,41,0.54,9,24,0.38,23,56,0.41,3,4,0.75,12,20,0.60,14,37,0.38,17,44,0.39
R. McKay,216138,13,16,0.81,7,12,0.58,11,19,0.58,8,27,0.30,4,7,0.57,5,6,0.83,9,31,0.29,19,64,0.30
H. Whipple,198276,0,0,0.00,6,15,0.40,4,10,0.40,7,15,0.47,1,1,1.00,12,30,0.40,2,5,0.40,3,8,0.38
C. Baker,197431,0,0,0.00,1,1,1.00,0,0,0.00,0,2,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00
M. Rose,221218,0,0,0.00,1,3,0.33,0,0,0.00,0,0,0.00,0,0,0.00,5,7,0.71,0,2,0.00,0,0,0.00
T. Ackerman,199944,16,26,0.62,64,120,0.53,43,104,0.41,62,179,0.35,11,16,0.69,64,115,0.56,32,79,0.41,48,145,0.33
D. Kelleher,194356,4,4,1.00,168,314,0.54,21,45,0.47,15,43,0.35,13,21,0.62,120,258,0.47,5,20,0.25,4,23,0.17
J. Cash,203507,6,11,0.55,197,362,0.54,26,51,0.51,5,17,0.29,15,23,0.65,202,350,0.58,8,20,0.40,5,22,0.23
N. Lauretti,209829,17,20,0.85,21,28,0.75,24,60,0.40,56,159,0.35,13,20,0.65,9,19,0.47,46,101,0.46,54,162,0.33
L. Garrison,201860,43,63,0.68,16,32,0.50,54,141,0.38,78,215,0.36,34,42,0.81,23,37,0.62,28,107,0.26,47,164,0.29
Q. Garber,204011,24,36,0.67,29,58,0.50,24,74,0.32,62,182,0.34,17,19,0.89,17,39,0.44,45,115,0.39,65,179,0.36
C. Wright,193605,14,20,0.70,27,37,0.73,11,30,0.37,33,73,0.45,7,8,0.88,14,20,0.70,16,53,0.30,29,71,0.41
O. Moreno,218282,0,1,0.00,45,76,0.59,14,32,0.44,6,17,0.35,3,8,0.38,49,104,0.47,2,9,0.22,3,11,0.27
M. Holloway,206387,0,0,0.00,4,6,0.67,1,4,0.25,0,1,0.00,0,2,0.00,16,25,0.64,0,2,0.00,0,2,0.00
S. Tejeda,206563,1,1,1.00,0,4,0.00,2,8,0.25,2,9,0.22,0,0,0.00,1,4,0.25,8,13,0.62,2,10,0.20
K. Dorsey,201613,1,1,1.00,1,2,0.50,1,2,0.50,1,10,0.10,0,0,0.00,2,2,1.00,0,6,0.00,3,13,0.23
J. Basile,200845,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,4,0.00
J. Newcombe,197203,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Raines,202400,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00
L. Sutton,197557,19,29,0.66,96,203,0.47,55,110,0.50,31,81,0.38,15,26,0.58,113,199,0.57,33,80,0.41,39,105,0.37
E. Mays,203956,5,6,0.83,139,245,0.57,3,10,0.30,9,18,0.50,15,24,0.62,117,234,0.50,11,29,0.38,9,24,0.38
G. Everhart,200633,5,7,0.71,132,238,0.55,7,24,0.29,2,19,0.11,21,35,0.60,155,306,0.51,12,28,0.43,6,22,0.27
L. Covington,192757,18,21,0.86,46,88,0.52,83,161,0.52,158,417,0.38,14,15,0.93,17,31,0.55,44,116,0.38,79,206,0.38
J. Samuel,193177,47,75,0.63,25,52,0.48,61,152,0.40,42,143,0.29,37,47,0.79,10,16,0.62,48,125,0.38,69,199,0.35
K. Cameron,215386,0,0,0.00,18,33,0.55,1,4,0.25,2,5,0.40,3,3,1.00,34,61,0.56,5,14,0.36,1,4,0.25
R. Earley,197972,7,8,0.88,7,18,0.39,7,31,0.23,40,107,0.37,14,17,0.82,13,18,0.72,15,52,0.29,21,66,0.32
T. Gunn,216610,27,32,0.84,12,20,0.60,37,88,0.42,67,226,0.30,27,30,0.90,15,27,0.56,45,110,0.41,63,191,0.33
J. Li,219030,0,0,0.00,2,2,1.00,1,2,0.50,3,6,0.50,1,1,1.00,0,1,0.00,0,5,0.00,2,4,0.50
M. Coble,195596,1,1,1.00,4,14,0.29,0,0,0.00,0,0,0.00,3,3,1.00,19,36,0.53,1,1,1.00,0,3,0.00
A. Rodriguez,204858,0,1,0.00,2,2,1.00,0,0,0.00,1,2,0.50,2,2,1.00,3,3,1.00,4,10,0.40,5,11,0.45
B. MacLean,205100,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Ford,209689,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Brumfiled,194123,0,0,0.00,0,1,0.00,0,2,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. McDermott,194859,2,5,0.40,32,58,0.55,38,84,0.45,99,286,0.35,17,18,0.94,33,53,0.62,62,129,0.48,47,138,0.34
J. McDowell,210103,2,2,1.00,48,106,0.45,4,11,0.36,1,5,0.20,21,26,0.81,104,195,0.53,11,22,0.50,6,21,0.29
A. Arreola,202283,1,5,0.20,82,163,0.50,0,3,0.00,3,7,0.43,13,23,0.57,112,216,0.52,1,8,0.12,4,11,0.36
B. Chuol,218406,12,17,0.71,20,42,0.48,38,85,0.45,64,189,0.34,24,28,0.86,26,34,0.76,42,105,0.40,62,163,0.38
T. Brown,199195,22,28,0.79,11,37,0.30,18,63,0.29,58,196,0.30,44,47,0.94,22,38,0.58,53,132,0.40,73,197,0.37
A. Soto,214430,0,0,0.00,1,1,1.00,0,2,0.00,4,11,0.36,3,3,1.00,4,5,0.80,5,9,0.56,1,4,0.25
B. Ward,194136,10,13,0.77,14,32,0.44,14,47,0.30,22,83,0.27,18,27,0.67,16,21,0.76,28,62,0.45,36,97,0.37
M. Coronado,207422,6,8,0.75,2,6,0.33,1,18,0.06,5,15,0.33,7,8,0.88,3,8,0.38,18,33,0.55,14,48,0.29
P. Zielinski,194633,1,3,0.33,40,84,0.48,3,15,0.20,5,16,0.31,9,13,0.69,63,97,0.65,5,8,0.62,6,12,0.50
H. Andrews,206647,1,1,1.00,19,52,0.37,5,14,0.36,0,2,0.00,10,16,0.62,108,167,0.65,6,11,0.55,5,9,0.56
B. Shelby,208710,1,1,1.00,0,1,0.00,0,1,0.00,0,3,0.00,1,1,1.00,0,0,0.00,0,0,0.00,2,3,0.67
J. Hudgins,196573,0,0,0.00,6,10,0.60,0,1,0.00,0,0,0.00,1,1,1.00,13,19,0.68,1,1,1.00,1,2,0.50
N. Freeman,207374,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00
C. Smith,197820,14,15,0.93,8,18,0.44,15,31,0.48,18,45,0.40,13,16,0.81,7,15,0.47,17,46,0.37,27,83,0.33
J. Kelly,187872,20,25,0.80,184,326,0.56,26,47,0.55,14,44,0.32,14,29,0.48,131,261,0.50,11,25,0.44,14,44,0.32
J. Carter,194072,0,0,0.00,162,279,0.58,22,41,0.54,8,28,0.29,12,18,0.67,130,271,0.48,8,22,0.36,15,27,0.56
C. Espinal,196800,39,61,0.64,19,32,0.59,56,136,0.41,44,138,0.32,14,21,0.67,15,24,0.62,43,123,0.35,52,169,0.31
T. O`Donnell,192031,72,87,0.83,10,17,0.59,42,117,0.36,38,128,0.30,42,49,0.86,14,22,0.64,40,121,0.33,63,164,0.38
J. Seaman,196339,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00
B. Lowry,209995,1,1,1.00,1,2,0.50,0,1,0.00,0,0,0.00,0,1,0.00,0,0,0.00,1,2,0.50,0,0,0.00
M. Easter,200333,0,0,0.00,34,68,0.50,6,11,0.55,7,19,0.37,3,8,0.38,38,78,0.49,9,23,0.39,4,15,0.27
R. McFarland,195275,20,28,0.71,12,23,0.52,26,52,0.50,32,96,0.33,7,7,1.00,9,18,0.50,25,51,0.49,29,78,0.37
